timestamp,slug,task_id,aspect,count,dest,prompt
2026-04-26T02:07:49,dalewatch_marches__zone,019dc6e5-db2e-750b-85d1-8e2ca62b6d0b,1:1,1,assets/meshy/dalewatch_marches__zone,"wide establishing landscape, late-medieval Burgundian river valley, stone keep on a low ridge above tilled fields, kingsroad winding past mills, distant marsh on the eastern horizon, summer dusk warm gold-hour light, painterly atmospheric, no figures, no characters"
2026-04-26T02:19:35,dalewatch_marches__zone,019dc6f0-5b6b-751a-9ac1-6eb6faba990f,1:1,2,assets/meshy/dalewatch_marches__zone,"wide establishing landscape, late-medieval Burgundian river valley, stone keep on a low ridge above tilled fields, kingsroad winding past mills, distant marsh on the eastern horizon, summer dusk warm gold-hour light, painterly atmospheric, no figures, no characters"
2026-04-26T02:20:22,dalewatch_marches__dalewatch_keep,019dc6f0-feef-755e-8720-342a13604870,1:1,2,assets/meshy/dalewatch_marches__dalewatch_keep,"establishing shot, late-medieval Burgundian curtain wall and gatehouse, heraldic banners over the gate, packed muster yard, stone forge smoke, dawn warm gold light, painterly atmospheric, no figures, no characters"
2026-04-26T02:20:50,dalewatch_marches__ford_of_ashmere,019dc6f1-b5b3-7fa3-866f-8057320afe6d,1:1,2,assets/meshy/dalewatch_marches__ford_of_ashmere,"establishing shot, forward earthwork camp at a wide shallow river ford, picket fences and timber palisade, distant mist on the far bank, dusk overcast cool light, watchfires, painterly atmospheric, late-medieval Burgundian, no figures"
2026-04-26T02:23:20,dalewatch_marches__harriers_rest,019dc6f2-2488-7fc1-b977-ea7f67d059c4,1:1,2,assets/meshy/dalewatch_marches__harriers_rest,"establishing shot, small wooden roadside chapel with bell tower, modest hostel beside it, upland scrub and dark pines, overcast afternoon, lantern by the door, painterly atmospheric, late-medieval Burgundian, no figures"
2026-04-26T02:23:53,dalewatch_marches__kingsroad_waypost,019dc6f4-6dd8-7057-81f0-2868d9a52565,1:1,2,assets/meshy/dalewatch_marches__kingsroad_waypost,"establishing shot, small timber patrol cabin beside a paved kingsroad at dusk, single hanging lantern, courier post sign, autumn rain in the distance, painterly atmospheric, late-medieval Burgundian, no figures"
2026-04-26T02:24:40,dalewatch_marches__miller_crossing,019dc6f4-ee0e-705d-94ca-49e1631189e4,1:1,2,assets/meshy/dalewatch_marches__miller_crossing,"establishing shot, low stone arch bridge over a slow river, working timber grain mill with waterwheel, packed thatched steadings, late-afternoon golden light, painterly atmospheric, late-medieval Burgundian, no figures"
2026-04-26T02:27:36,dalewatch_marches__zone,019dc6f7-b435-70e9-99ec-dfa72ecc89ff,1:1,1,assets/meshy/dalewatch_marches__zone,"wide establishing landscape, late-medieval Burgundian river valley, stone keep on a low ridge above tilled fields, kingsroad winding past mills, distant marsh on the eastern horizon, summer dusk warm gold-hour light, painterly atmospheric, no figures, no characters"
2026-04-26T02:28:05,dalewatch_marches__dalewatch_keep,019dc6f8-577b-70f2-af83-72849d6b88a5,1:1,1,assets/meshy/dalewatch_marches__dalewatch_keep,"establishing shot, late-medieval Burgundian curtain wall and gatehouse, heraldic banners over the gate, packed muster yard, stone forge smoke, dawn warm gold light, painterly atmospheric, no figures, no characters"
2026-04-26T02:28:47,dalewatch_marches__ford_of_ashmere,019dc6f8-c642-7126-8684-be2c91474272,1:1,1,assets/meshy/dalewatch_marches__ford_of_ashmere,"establishing shot, forward earthwork camp at a wide shallow river ford, picket fences and timber palisade, distant mist on the far bank, dusk overcast cool light, watchfires, painterly atmospheric, late-medieval Burgundian, no figures"
2026-04-26T02:30:27,dalewatch_marches__harriers_rest,019dc6f9-69c1-712a-b4f5-3b64dc10fcba,1:1,1,assets/meshy/dalewatch_marches__harriers_rest,"establishing shot, small wooden roadside chapel with bell tower, modest hostel beside it, upland scrub and dark pines, overcast afternoon, lantern by the door, painterly atmospheric, late-medieval Burgundian, no figures"
